id,full_name,url,stars,forks,collaborators,commit,openIssue,closedIssue
181846371,MIC-DKFZ/nnUNet,https://api.github.com/repos/MIC-DKFZ/nnUNet,2365,823,21,681,86,733
167349656,FederatedAI/FATE,https://api.github.com/repos/FederatedAI/FATE,3931,1167,62,9843,350,724
51905353,apache/arrow,https://api.github.com/repos/apache/arrow,9162,2224,367,11008,22,704
272133018,open-mmlab/mmsegmentation,https://api.github.com/repos/open-mmlab/mmsegmentation,3183,1101,78,376,95,704
45596393,odlgroup/odl,https://api.github.com/repos/odlgroup/odl,234,94,22,4928,222,688
107937815,aws/amazon-sagemaker-examples,https://api.github.com/repos/aws/amazon-sagemaker-examples,6561,4940,361,2226,517,687
212488700,pytorch/serve,https://api.github.com/repos/pytorch/serve,2431,469,69,2807,103,677
30509483,clab/dynet,https://api.github.com/repos/clab/dynet,3279,704,120,3267,258,659
110621895,aws/sagemaker-python-sdk,https://api.github.com/repos/aws/sagemaker-python-sdk,1575,743,241,2369,314,655
198616978,UKPLab/sentence-transformers,https://api.github.com/repos/UKPLab/sentence-transformers,7105,1411,67,1056,652,649
278810244,open-mmlab/mmaction2,https://api.github.com/repos/open-mmlab/mmaction2,1716,543,40,1591,45,629
45495679,EpistasisLab/tpot,https://api.github.com/repos/EpistasisLab/tpot,8445,1454,70,2368,235,602
386811486,Megvii-BaseDetection/YOLOX,https://api.github.com/repos/Megvii-BaseDetection/YOLOX,5737,1242,45,150,374,595
277982133,open-mmlab/mmdetection3d,https://api.github.com/repos/open-mmlab/mmdetection3d,2056,566,43,966,57,589
102302633,schrum2/MM-NEAT,https://api.github.com/repos/schrum2/MM-NEAT,39,17,17,6439,52,587
104854615,stanfordnlp/stanza,https://api.github.com/repos/stanfordnlp/stanza,6010,779,33,2267,72,576
74505259,slundberg/shap,https://api.github.com/repos/slundberg/shap,15535,2347,125,2011,1270,571
10994345,root-project/root,https://api.github.com/repos/root-project/root,1682,1002,303,73836,378,563
125381318,Trusted-AI/adversarial-robustness-toolbox,https://api.github.com/repos/Trusted-AI/adversarial-robustness-toolbox,2797,778,74,9423,78,562
102567256,YosefLab/scvi-tools,https://api.github.com/repos/YosefLab/scvi-tools,649,215,43,3388,39,555
95862535,apple/coremltools,https://api.github.com/repos/apple/coremltools,2560,400,94,912,320,550
136302835,JDAI-CV/fast-reid,https://api.github.com/repos/JDAI-CV/fast-reid,2390,644,2,528,13,533
80733109,azavea/raster-vision,https://api.github.com/repos/azavea/raster-vision,1530,320,24,2618,84,524
145670155,open-mmlab/mmcv,https://api.github.com/repos/open-mmlab/mmcv,3503,977,155,1019,87,520
118620583,mozilla/TTS,https://api.github.com/repos/mozilla/TTS,5647,907,43,2184,17,510
111113343,deepmipt/DeepPavlov,https://api.github.com/repos/deepmipt/DeepPavlov,5612,1007,63,2611,102,503
261372860,DLR-RM/stable-baselines3,https://api.github.com/repos/DLR-RM/stable-baselines3,2981,668,76,607,49,503
178976529,bentoml/BentoML,https://api.github.com/repos/bentoml/BentoML,3242,378,98,1543,49,501
163346054,ludwig-ai/ludwig,https://api.github.com/repos/ludwig-ai/ludwig,8136,970,106,2394,161,500
199509705,awslabs/autogluon,https://api.github.com/repos/awslabs/autogluon,4145,555,62,789,125,497
9220688,pymor/pymor,https://api.github.com/repos/pymor/pymor,163,69,19,7760,70,492
137789266,nyu-mll/jiant,https://api.github.com/repos/nyu-mll/jiant,1373,266,47,1923,63,485
247295191,open-mmlab/OpenPCDet,https://api.github.com/repos/open-mmlab/OpenPCDet,2361,753,23,309,220,484
259710503,speechbrain/speechbrain,https://api.github.com/repos/speechbrain/speechbrain,3745,695,81,5969,116,479
129936360,PennyLaneAI/pennylane,https://api.github.com/repos/PennyLaneAI/pennylane,1169,353,85,2362,111,469
131881622,NVIDIA/DeepLearningExamples,https://api.github.com/repos/NVIDIA/DeepLearningExamples,7694,2172,2,1080,124,453
90321822,pytorch/audio,https://api.github.com/repos/pytorch/audio,1594,387,147,1341,125,450
